Item,Price,Quantity,Total Price,Link,Notes:
Fan,41.3,1,41.3,https://www.amazon.com/dp/B0F11G5SWD?ref=ppx_yo2ov_dt_b_fed_asin_title&th=1,"*Sourcing from Amazon because a comparable fan on Aliexpress is usually more expensive, does not have adjustable speed, and may not have the right plug. We are also on a time crunch so I have already purchased this."
"4'x8' 1/2"" Sheet  of OSB",14.29,1,14.29,https://www.lowes.com/pd/1-2-CAT-PS2-10-OSB-Sheathing-Application-as-4-x-8/1000068915,
"1/4"" ID, 3/8"" OD Clear Tubing 10'",3.58,1,3.58,https://www.lowes.com/pd/EZ-FLO-1-4-in-Inner-Diameter-x-10-ft-PVC-Clear-Vinyl-Tubing/1000365025,*Sourcing from Lowe's because we have already bought this from there and are planning to get reimbursed
"8""x10""x0.08"" Acrylic",4.78,1,4.78,https://www.lowes.com/pd/OPTIX-0-08-in-T-x-8-in-W-x-10-in-L-Clear-Acrylic-Sheet/3143395,*Sourcing from Lowe's because we have already bought this from there and are planning to get reimbursed
"#8 Wood Screws 1 5/8"" Long",6.98,1 (box of 75),6.98,https://www.lowes.com/pd/Hillman-8-x-1-5-8-in-Ceramic-Deck-Screws-75-Count/999995034,
Caulk,2.98,1,2.98,https://www.lowes.com/pd/DAP-Alex-Plus-10-1-oz-Clear-Paintable-Latex-Caulk/5004004945,*Using to seal gaps that are letting air flow out through the corners of the tunnel.
Black Spray Paint,7.48,1,7.48,https://www.lowes.com/pd/Krylon-FUSION-ALL-IN-ONE-Matte-Black-Spray-Paint-and-Primer-In-One-NET-WT-12-oz/1000460293,*Sourcing from Lowe's because we have already bought this from there and are planning to get reimbursed. Using to paint the inside of the tunnel black to provide contrast for the steam.
Humidifier,N/A,1,N/A,N/A,*Already have
Plastic Straw,N/A,1,N/A,N/A,*Already have
PLA Filament,N/A,1kg,N/A,N/A,*Already have
,,,,,
Total Price:,N/A,N/A,81.39,N/A,
